,mixer_names,price
0,"ZunVolt Power MG5 500 Mixer Grinder (3 Jars, White, Turquoise)","<div class=""_30jeq3 _1_WHN1"">₹1,290</div>"
1,"Flipkart SmartBuy Neo Power Chef 600 W Juicer Mixer Grinder (4 Jars, Black, Red)","<div class=""_30jeq3 _1_WHN1"">₹1,809</div>"
2,Bajaj GX1 500 W Mixer Grinder,"<div class=""_30jeq3 _1_WHN1"">₹2,199</div>"
3,"Lifelong LLCMB02 500 W Mixer Grinder (White, 3 Jars) & 1100 W Dry Iron (White, Blue) Super Combo","<div class=""_30jeq3 _1_WHN1"">₹1,716</div>"
4,"Butterfly Plus Rapid 750 W Mixer Grinder (5 Jars, Ink Blue)","<div class=""_30jeq3 _1_WHN1"">₹3,249</div>"
5,Flipkart SmartBuy PowerChef Premium 500 W Mixer Grinder,"<div class=""_30jeq3 _1_WHN1"">₹1,509</div>"
6,"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","<div class=""_30jeq3 _1_WHN1"">₹1,849</div>"
7,"HAVELLS GHFMGDVV075 Klassic 750 W Mixer Grinder (4 Jars, White - Lavender)","<div class=""_30jeq3 _1_WHN1"">₹3,849</div>"
8,"Croma by Croma MIXER GRINDER CRAK4184 500 W Mixer Grinder 500 Mixer Grinder (3 Jars, White, Purple)","<div class=""_30jeq3 _1_WHN1"">₹1,290</div>"
9,"Prestige Flash Atlas 500 W Mixer Grinder (3 Jars, White, Black)","<div class=""_30jeq3 _1_WHN1"">₹1,999</div>"
10,"Prestige Plus Atlas 750 W Juicer Mixer Grinder (4 Jars, Blue, White)","<div class=""_30jeq3 _1_WHN1"">₹2,999</div>"
11,"HAVELLS GHFMGDWV075 Klassic 750 W Mixer Grinder (3 Jars, White - Lavender)","<div class=""_30jeq3 _1_WHN1"">₹3,579</div>"
12,"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Black)","<div class=""_30jeq3 _1_WHN1"">₹2,799</div>"
13,"Preethi Platinum select MG226 Blue Leaf 750 Mixer Grinder (3 Jars, White)","<div class=""_30jeq3 _1_WHN1"">₹3,899</div>"
14,"BAJAJ GX-75 750 Juicer Mixer Grinder (4 Jars, White)","<div class=""_30jeq3 _1_WHN1"">₹3,199</div>"
15,"MAHARAJA WHITELINE NEO (MX-147)/(MX-199) 500 W Mixer Grinder (3 Jars, White)","<div class=""_30jeq3 _1_WHN1"">₹1,875</div>"
16,"Lifelong Duos - LLMG92 500 Mixer Grinder (2 Jars, Grey)","<div class=""_30jeq3 _1_WHN1"">₹1,299</div>"
17,"BAJAJ Gx8 GX8 750 W Mixer Grinder (3 Jars, White)","<div class=""_30jeq3 _1_WHN1"">₹3,263</div>"
18,"BAJAJ Rex 750 Mixer Grinder (4 Jars, White)","<div class=""_30jeq3 _1_WHN1"">₹4,269</div>"
19,"Longway Super Dlx 700 W Mixer Grinder (Blue,  White, 3 Jars) & Kwid 750 W Dry Iron (White, Blue)","<div class=""_30jeq3 _1_WHN1"">₹1,869</div>"
20,"PHILIPS HL7756/03 Daily Collection 750 W Mixer Grinder (3 Jars, Strawberry, Black)","<div class=""_30jeq3 _1_WHN1"">₹3,499</div>"
21,"Longway - SUPER DLX 750 W Mixer Grinder (4 Jars, White && Green)","<div class=""_30jeq3 _1_WHN1"">₹1,749</div>"
22,"HAVELLS MaxxGrind 750 W Mixer Grinder (3 Jars, Blue)","<div class=""_30jeq3 _1_WHN1"">₹3,499</div>"
23,"Pigeon Glory 550 W Mixer Grinder (Multicolor, 3 Jars) with IB 3 Ltr Pressure Cooker Special Combo","<div class=""_30jeq3 _1_WHN1"">₹2,590</div>"
