,Grill_Names,cost
0,Geico master Charcoal Grill,"<div class=""_30jeq3"">₹1,379</div>"
1,HOT BERG Charcoal Grill,"<div class=""_30jeq3"">₹641</div>"
2,Sukot Charcoal Grill,"<div class=""_30jeq3"">₹205</div>"
3,Flipkart SmartBuy Barbeque Grill with 6 Skewers Charcoa...,"<div class=""_30jeq3"">₹939</div>"
4,Divvy Charcoal Grill,"<div class=""_30jeq3"">₹338</div>"
5,"Flipkart SmartBuy 2in1 Electric & charcoal Barbeque, 6 ...","<div class=""_30jeq3"">₹1,239</div>"
6,Flipkart SmartBuy Barbeque Grill with 2 Skewers Charcoa...,"<div class=""_30jeq3"">₹639</div>"
7,Flipkart SmartBuy 10 Inch Electric Tandoor With 1 Magic...,"<div class=""_30jeq3"">₹1,739</div>"
8,Balaji Craft Villa Charcoal Grill,"<div class=""_30jeq3"">₹125</div>"
9,HOT LIFE Gas Grill,"<div class=""_30jeq3"">₹188</div>"
10,scotrade Gas Grill,"<div class=""_30jeq3"">₹112</div>"
11,Flipkart SmartBuy XXL Cook Top BBQ Grill with 24 inches...,"<div class=""_30jeq3"">₹2,439</div>"
12,HOT LIFE Charcoal Grill,"<div class=""_30jeq3"">₹930</div>"
13,HOT LIFE Charcoal Grill,"<div class=""_30jeq3"">₹1,188</div>"
14,HOT LIFE Gas Grill,"<div class=""_30jeq3"">₹212</div>"
15,Flipkart SmartBuy Smokeless Barbeque Non Stick Coating ...,"<div class=""_30jeq3"">₹839</div>"
16,"Arihant's Aluminium Tandoor Bati Maker, Pizza Maker- ca...","<div class=""_30jeq3"">₹1,065</div>"
17,HOT LIFE Charcoal Grill,"<div class=""_30jeq3"">₹1,010</div>"
18,Evona Charcoal Grill,"<div class=""_30jeq3"">₹639</div>"
19,Flipkart SmartBuy 14 Inch Electric Tandoor With 1 Magic...,"<div class=""_30jeq3"">₹2,139</div>"
20,Ziya Electric Grill,"<div class=""_30jeq3"">₹1,439</div>"
21,Ezzideals Charcoal Grill,"<div class=""_30jeq3"">₹1,439</div>"
22,Sajani Charcoal Grill,"<div class=""_30jeq3"">₹639</div>"
23,Flipkart SmartBuy Aluminum Non-Stick Smokeless Tandoor ...,"<div class=""_30jeq3"">₹2,439</div>"
24,HOT LIFE Charcoal Grill,"<div class=""_30jeq3"">₹1,028</div>"
25,HANGUL Charcoal Grill,"<div class=""_30jeq3"">₹1,139</div>"
26,Nabiya Charcoal Grill,"<div class=""_30jeq3"">₹1,137</div>"
27,Flipkart SmartBuy Portable Grill Set with 5 skewers wit...,"<div class=""_30jeq3"">₹1,439</div>"
28,Sarvadeshi Charcoal Grill,"<div class=""_30jeq3"">₹710</div>"
29,Geico master Charcoal Grill,"<div class=""_30jeq3"">₹1,930</div>"
30,NE GRILLS Charcoal Grill,"<div class=""_30jeq3"">₹1,289</div>"
31,Flipkart SmartBuy Big Table Top Portable Charcoal Barbe...,"<div class=""_30jeq3"">₹1,039</div>"
32,HOT LIFE Charcoal Grill,"<div class=""_30jeq3"">₹1,378</div>"
33,Chefman Charcoal Grill,"<div class=""_30jeq3"">₹1,630</div>"
34,DARSHANAM_WORLD Charcoal Grill,"<div class=""_30jeq3"">₹366</div>"
35,Flipkart SmartBuy Mini Table top Barbeque with 4 skewer...,"<div class=""_30jeq3"">₹939</div>"
36,Geico master Gas Grill,"<div class=""_30jeq3"">₹206</div>"
37,Fancycool Gas Grill,"<div class=""_30jeq3"">₹84</div>"
38,myfizi Charcoal Grill,"<div class=""_30jeq3"">₹710</div>"
39,Khwaish Electric Grill,"<div class=""_30jeq3"">₹1,140</div>"
